goos: darwin
goarch: arm64
pkg: excbench/panicpkg
cpu: Apple M1
BenchmarkThrowShallow-8   	565227332	         2.127 ns/op	       0 B/op	       0 allocs/op
BenchmarkThrowShallow-8   	562766762	         2.126 ns/op	       0 B/op	       0 allocs/op
BenchmarkThrowShallow-8   	565246635	         2.122 ns/op	       0 B/op	       0 allocs/op
BenchmarkThrowShallow-8   	566004028	         2.126 ns/op	       0 B/op	       0 allocs/op
BenchmarkThrowShallow-8   	564825603	         2.124 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeepProp-8       	411407178	         2.919 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeepProp-8       	411448731	         2.994 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeepProp-8       	411561856	         3.085 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeepProp-8       	375311586	         2.990 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeepProp-8       	410003048	         2.922 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeepProp-8       	410926419	         2.953 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeepProp-8       	395888313	         2.939 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeepProp-8       	402604177	         2.932 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeepProp-8       	412055955	         2.938 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeepProp-8       	411045534	         2.913 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	excbench/flagpkg	47.326s
