goos: darwin
goarch: arm64
pkg: objbench/hybrid
cpu: Apple M1
BenchmarkCallMonoD3-8     	391646078	         3.299 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallMonoD3-8     	379362271	         3.195 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallMonoD3-8     	339140845	         3.231 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallMonoD3-8     	392683702	         3.033 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallMonoD3-8     	392645958	         7.313 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallMonoD3-8     	346502054	         3.157 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallMonoD3-8     	405122206	         3.306 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallMonoD3-8     	368610039	         2.999 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallMonoD3-8     	386628195	         2.990 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallMonoD3-8     	397253926	         3.096 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallMonoD3-8     	378806810	         3.270 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallMonoD3-8     	361438298	         3.241 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallMonoD3-8     	384001790	         3.136 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallMonoD3-8     	380307568	         3.058 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallMonoD3-8     	393932940	         3.023 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallMonoD3-8     	393399036	         2.999 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallMonoD3-8     	399542689	         3.073 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallMonoD3-8     	396841417	         3.039 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallMonoD3-8     	387377517	         3.151 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallMonoD3-8     	379988737	         3.006 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallMonoD6-8     	372786772	         3.295 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallMonoD6-8     	366900152	         3.167 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallMonoD6-8     	380109553	         3.367 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallMonoD6-8     	329354358	         3.559 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallMonoD6-8     	358190154	         3.523 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallMonoD6-8     	352222099	         3.499 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallMonoD6-8     	346738298	         3.387 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallMonoD6-8     	374111289	         3.210 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallMonoD6-8     	380922804	         3.385 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallMonoD6-8     	354743848	         3.288 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallMonoD6-8     	380653095	         3.276 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallMonoD6-8     	352112503	         3.413 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallMonoD6-8     	361728382	         3.243 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallMonoD6-8     	357755307	         3.179 ns/op	       0 B/op	       0 allocs/op
