goos: darwin
goarch: arm64
pkg: objbench/hybrid
cpu: Apple M1
BenchmarkFieldReadD3-8    	422241945	         2.752 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldReadD3-8    	431022031	         2.789 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldReadD3-8    	429727279	         2.903 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldReadD6-8    	387914416	         2.844 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldReadD6-8    	412600060	         2.861 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldReadD6-8    	427676870	         2.859 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldReadD6-8    	409931792	         2.829 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldReadD6-8    	417497674	         2.955 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldReadD6-8    	403389423	         3.023 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldReadD6-8    	383463866	         3.091 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldReadD6-8    	373434588	         3.052 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldReadD6-8    	391071032	         3.091 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldReadD6-8    	381507584	         2.901 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldWriteD3-8   	340713526	         3.344 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldWriteD3-8   	378053122	         3.177 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldWriteD3-8   	377982814	         3.320 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldWriteD3-8   	361916209	         3.202 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldWriteD3-8   	375308504	         3.242 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldWriteD3-8   	364441078	         3.203 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldWriteD3-8   	396630895	         3.205 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldWriteD3-8   	335647473	         3.516 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldWriteD3-8   	346140949	         3.303 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldWriteD3-8   	374072950	         3.170 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldWriteD6-8   	399344077	         3.140 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldWriteD6-8   	377129799	         3.281 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldWriteD6-8   	367842868	         3.227 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldWriteD6-8   	377352556	         3.332 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldWriteD6-8   	356654446	         3.470 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldWriteD6-8   	363026780	         3.384 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldWriteD6-8   	334157665	         3.459 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldWriteD6-8   	370972197	         3.405 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldWriteD6-8   	388373290	         3.291 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldWriteD6-8   	371994978	         3.155 ns/op	       0 B/op	       0 allocs/op
BenchmarkDowncastD3-8     	433984546	         2.819 ns/op	       0 B/op	       0 allocs/op
BenchmarkDowncastD3-8     	398716077	         2.775 ns/op	       0 B/op	       0 allocs/op
BenchmarkDowncastD3-8     	392616357	         2.845 ns/op	       0 B/op	       0 allocs/op
BenchmarkDowncastD3-8     	430590010	         2.892 ns/op	       0 B/op	       0 allocs/op
BenchmarkDowncastD3-8     	400678482	         2.714 ns/op	       0 B/op	       0 allocs/op
BenchmarkDowncastD3-8     	429188194	         2.769 ns/op	       0 B/op	       0 allocs/op
BenchmarkDowncastD3-8     	442651568	         2.841 ns/op	       0 B/op	       0 allocs/op
BenchmarkDowncastD3-8     	440048037	         2.721 ns/op	       0 B/op	       0 allocs/op
BenchmarkDowncastD3-8     	426193243	         2.761 ns/op	       0 B/op	       0 allocs/op
BenchmarkDowncastD3-8     	417899929	         2.793 ns/op	       0 B/op	       0 allocs/op
BenchmarkDowncastD6-8     	438597760	         2.740 ns/op	       0 B/op	       0 allocs/op
BenchmarkDowncastD6-8     	416520475	         2.998 ns/op	       0 B/op	       0 allocs/op
BenchmarkDowncastD6-8     	419528894	         2.960 ns/op	       0 B/op	       0 allocs/op
BenchmarkDowncastD6-8     	389918019	         2.993 ns/op	       0 B/op	       0 allocs/op
BenchmarkDowncastD6-8     	370791277	         3.223 ns/op	       0 B/op	       0 allocs/op
BenchmarkDowncastD6-8     	369153768	         3.099 ns/op	       0 B/op	       0 allocs/op
BenchmarkDowncastD6-8     	372336868	         3.067 ns/op	       0 B/op	       0 allocs/op
BenchmarkDowncastD6-8     	386276972	         3.083 ns/op	       0 B/op	       0 allocs/op
BenchmarkDowncastD6-8     	416738654	         2.795 ns/op	       0 B/op	       0 allocs/op
BenchmarkDowncastD6-8     	437768938	         2.871 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	objbench/hybrid	190.180s
goos: darwin
goarch: arm64
pkg: objbench/uniform
cpu: Apple M1
BenchmarkCallMonoD3-8     	441825739	         2.894 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallMonoD3-8     	421137412	         2.816 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallMonoD3-8     	435969016	         2.887 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallMonoD3-8     	422212604	         2.844 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallMonoD3-8     	436845223	         3.048 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallMonoD3-8     	400902253	         2.968 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallMonoD3-8     	415780905	         2.851 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallMonoD3-8     	410064286	         2.827 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallMonoD3-8     	371305078	         3.250 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallMonoD3-8     	374686588	         2.916 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallMonoD6-8     	392242478	         3.102 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallMonoD6-8     	355630456	         3.139 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallMonoD6-8     	381668362	         2.984 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallMonoD6-8     	426943453	         3.192 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallMonoD6-8     	388310348	         3.043 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallMonoD6-8     	377363632	         3.214 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallMonoD6-8     	400630027	         3.069 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallMonoD6-8     	412510231	         3.131 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallMonoD6-8     	405444870	         2.955 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallMonoD6-8     	415699647	         2.936 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallBiD3-8       	361988720	         3.160 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallBiD3-8       	396994474	         3.030 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallBiD3-8       	392601158	         3.310 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallBiD3-8       	371520000	         3.242 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallBiD3-8       	389916698	         2.993 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallBiD3-8       	418008441	         3.046 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallBiD3-8       	383111946	         2.945 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallBiD3-8       	413533813	         3.008 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallBiD3-8       	386850312	         3.179 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallBiD3-8       	413361805	         3.077 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallBiD6-8       	309121266	         4.086 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallBiD6-8       	278201815	         4.324 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallBiD6-8       	297094170	         4.180 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallBiD6-8       	267251799	         4.213 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallBiD6-8       	299641677	         4.346 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallBiD6-8       	297756219	         4.039 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallBiD6-8       	302117464	         4.112 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallBiD6-8       	319593723	         3.639 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallBiD6-8       	323238345	         4.062 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallBiD6-8       	307692405	         4.094 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallMegaD3-8     	303280579	         3.899 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallMegaD3-8     	269065761	         4.150 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallMegaD3-8     	299987781	         4.322 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallMegaD3-8     	308152560	         4.089 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallMegaD3-8     	265526500	         4.015 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallMegaD3-8     	302904824	         4.104 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallMegaD3-8     	314184548	         4.081 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallMegaD3-8     	245730685	         4.340 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallMegaD3-8     	286922748	         4.460 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallMegaD3-8     	292136328	         4.493 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallMegaD6-8     	241806028	         4.838 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallMegaD6-8     	263047833	         4.924 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallMegaD6-8     	266591773	         4.603 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallMegaD6-8     	226699090	         4.492 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallMegaD6-8     	256032111	         4.619 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallMegaD6-8     	247682107	         5.011 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallMegaD6-8     	255603961	         5.048 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallMegaD6-8     	229813588	         4.478 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallMegaD6-8     	245497904	         4.506 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallMegaD6-8     	229252928	         4.838 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldReadD3-8    	386982706	         2.862 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldReadD3-8    	438362636	         2.742 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldReadD3-8    	401300937	         2.888 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldReadD3-8    	416252101	         2.876 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldReadD3-8    	397514814	         2.868 ns/op	       0 B/op	       0 allocs/op
