goos: darwin
goarch: arm64
pkg: gcopt/q1_devirt
cpu: Apple M1
BenchmarkBudgetUnder-8      	129855392	         2.756 ns/op	       0 B/op	       0 allocs/op
BenchmarkBudgetOver-8       	49898932	         7.218 ns/op	       0 B/op	       0 allocs/op
BenchmarkBudgetOver-8       	43520167	         8.820 ns/op	       0 B/op	       0 allocs/op
BenchmarkBudgetOver-8       	41315991	         7.938 ns/op	       0 B/op	       0 allocs/op
BenchmarkBudgetOver-8       	49929786	         7.361 ns/op	       0 B/op	       0 allocs/op
BenchmarkBudgetOver-8       	47028343	         7.310 ns/op	       0 B/op	       0 allocs/op
BenchmarkBudgetOver-8       	51393388	         7.047 ns/op	       0 B/op	       0 allocs/op
BenchmarkBudgetOver-8       	51395839	         7.035 ns/op	       0 B/op	       0 allocs/op
BenchmarkBudgetOver-8       	51340858	         7.024 ns/op	       0 B/op	       0 allocs/op
BenchmarkBudgetOver-8       	50472301	         7.055 ns/op	       0 B/op	       0 allocs/op
BenchmarkBudgetOver-8       	50925376	         7.065 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	gcopt/q1_devirt	46.298s
goos: darwin
goarch: arm64
pkg: gcopt/q2_closure
cpu: Apple M1
BenchmarkDirectCall-8             	158538363	         2.069 ns/op	       0 B/op	       0 allocs/op
BenchmarkDirectCall-8             	174211390	         2.070 ns/op	       0 B/op	       0 allocs/op
BenchmarkDirectCall-8             	174428745	         2.066 ns/op	       0 B/op	       0 allocs/op
BenchmarkDirectCall-8             	174089515	         2.065 ns/op	       0 B/op	       0 allocs/op
BenchmarkDirectCall-8             	174073311	         2.069 ns/op	       0 B/op	       0 allocs/op
BenchmarkDirectCall-8             	174352962	         2.067 ns/op	       0 B/op	       0 allocs/op
BenchmarkDirectCall-8             	173300073	         2.066 ns/op	       0 B/op	       0 allocs/op
BenchmarkDirectCall-8             	173240376	         2.071 ns/op	       0 B/op	       0 allocs/op
BenchmarkDirectCall-8             	174322954	         2.064 ns/op	       0 B/op	       0 allocs/op
BenchmarkDirectCall-8             	174097584	         2.084 ns/op	       0 B/op	       0 allocs/op
BenchmarkClosureByValue-8         	169273921	         2.070 ns/op	       0 B/op	       0 allocs/op
BenchmarkClosureByValue-8         	173727879	         2.073 ns/op	       0 B/op	       0 allocs/op
BenchmarkClosureByValue-8         	174004633	         2.071 ns/op	       0 B/op	       0 allocs/op
BenchmarkClosureByValue-8         	173577487	         2.079 ns/op	       0 B/op	       0 allocs/op
BenchmarkClosureByValue-8         	173172528	         2.083 ns/op	       0 B/op	       0 allocs/op
BenchmarkClosureByValue-8         	173631835	         2.073 ns/op	       0 B/op	       0 allocs/op
BenchmarkClosureByValue-8         	173879163	         2.070 ns/op	       0 B/op	       0 allocs/op
BenchmarkClosureByValue-8         	173420185	         2.067 ns/op	       0 B/op	       0 allocs/op
BenchmarkClosureByValue-8         	173757472	         2.074 ns/op	       0 B/op	       0 allocs/op
BenchmarkClosureByValue-8         	174096285	         2.077 ns/op	       0 B/op	       0 allocs/op
BenchmarkClosureByRef-8           	150173768	         2.398 ns/op	       0 B/op	       0 allocs/op
BenchmarkClosureByRef-8           	150360158	         2.399 ns/op	       0 B/op	       0 allocs/op
BenchmarkClosureByRef-8           	149951785	         2.405 ns/op	       0 B/op	       0 allocs/op
BenchmarkClosureByRef-8           	149841417	         2.401 ns/op	       0 B/op	       0 allocs/op
BenchmarkClosureByRef-8           	150040766	         2.395 ns/op	       0 B/op	       0 allocs/op
BenchmarkClosureByRef-8           	150405494	         2.399 ns/op	       0 B/op	       0 allocs/op
BenchmarkClosureByRef-8           	150367040	         2.394 ns/op	       0 B/op	       0 allocs/op
BenchmarkClosureByRef-8           	149968548	         2.396 ns/op	       0 B/op	       0 allocs/op
BenchmarkClosureByRef-8           	150366858	         2.402 ns/op	       0 B/op	       0 allocs/op
BenchmarkClosureByRef-8           	148677159	         2.400 ns/op	       0 B/op	       0 allocs/op
BenchmarkClosureHeap-8            	168012091	         2.147 ns/op	       0 B/op	       0 allocs/op
BenchmarkClosureHeap-8            	167812609	         2.142 ns/op	       0 B/op	       0 allocs/op
BenchmarkClosureHeap-8            	167863143	         2.146 ns/op	       0 B/op	       0 allocs/op
BenchmarkClosureHeap-8            	167761224	         2.143 ns/op	       0 B/op	       0 allocs/op
BenchmarkClosureHeap-8            	166917009	         2.143 ns/op	       0 B/op	       0 allocs/op
BenchmarkClosureHeap-8            	168016405	         2.146 ns/op	       0 B/op	       0 allocs/op
BenchmarkClosureHeap-8            	168021892	         2.143 ns/op	       0 B/op	       0 allocs/op
BenchmarkClosureHeap-8            	168014704	         2.148 ns/op	       0 B/op	       0 allocs/op
BenchmarkClosureHeap-8            	168016077	         2.304 ns/op	       0 B/op	       0 allocs/op
BenchmarkClosureHeap-8            	164577446	         2.146 ns/op	       0 B/op	       0 allocs/op
